,Latitude,Longitude,January,February,March,April,May,June,July,August,September,October,November,December
18110,-30.61,130.41,0.017934394,0.020144041,0.003741817,0.010986226,0.009085403,-0.008363921,0.01295086,-0.01312336,0.036631084,0.013837086,0.008917155,0.027728052
17004,-28.89,136.17,0,0,0,0,0,0,0,0,0,0,0,-0.000915583
12029,-32.03,122.8,0.047750265,0.030621172,0.02906952,0,-0.02476505,-0.004724409,0.009503122,-0.014006663,0,0.016510033,0.031167979,0.04893664
11019,-32.25,126.3,0.09937116,0.087936578,0.034145496,0.035043174,-0.057264102,-0.074365704,-0.06578084,-0.059737157,0.017487538,0.060958066,0.104986877,0.130413386
10658,-32.83,116.99,0.21872266,0.200524934,0.140999817,0.015471926,-0.240303519,-0.320229561,-0.390166994,-0.249343832,-0.13428009,-0.042264937,0.104014776,0.198425197
10528,-33.25,117.66,0.017359339,0.056608312,0.005861098,0.019360395,-0.064861145,-0.137795276,-0.136560136,-0.116752647,-0.064067512,-0.059055118,0.041415623,0.030987713
9573,-34.25,116.15,0.102981872,0.105424322,-0.004960317,-0.157480315,-0.598825352,-0.734128762,-0.595472441,-0.350769797,0.019836463,0.188291681,0.334289692,0.262381975
9009,-31.6,116.11,0.056494733,0.046124749,0.053498208,0.014578571,-0.33200928,-0.435142976,-0.48687664,-0.377207917,-0.128400143,-0.132035165,0.099411916,0.025918635
7134,-26.8,118.98,0,0,-0.005785088,0.029847449,-0.030811366,-0.031547866,0,0.005891746,0,0.037054192,0.005624297,0.034448819
7050,-25.09,118.3,0.076216434,0,0,0,-0.016576875,0,0,0,0,0,0.019685039,0.027467497
6059,-25.94,114.32,0.021653543,0.034995626,-0.015405683,-0.033745782,-0.100612423,-0.109964703,-0.04491516,-0.022145669,0,0,0,0.017648656
6010,-25.61,115.46,0,0,0,0,0,0.03074287,0,0.021598006,0.016936803,0.024915852,0,0
5045,-22.69,114.37,0,0,0,0,0,0,0,0,-0.010875154,0,0.002098212,0
4036,-20.47,119.06,0,-0.12992126,-0.060569352,0,0,0,0,0,0,0,0,0
4035,-20.78,117.15,-0.013046163,-0.046806278,0,0.001726758,0.033745782,-0.010583355,0,0.001936233,0,0,0,0
3000,-16.98,122.67,-0.363704537,-0.29855643,-0.215499378,-0.021653543,0,0,0,0,0,0,0.020799287,-0.006787945
94041,-43.66,146.27,0.09936258,0.082677165,0.026886883,0.019523687,0.048967188,0.076713219,0.042949177,0.015635714,-0.01280672,0.027256208,0.066366704,0.073401842
60030,-31.89,152.47,0.049212598,0.091863517,0.106299213,-0.039822608,0.099865566,0.059310768,0.003690945,-0.020721094,-0.043887957,0.061560487,-0.03456885,0.005451242
57001,-30.37,152.23,0.040880011,0.186113099,-0.016480498,0.065902088,0.048818898,-0.021474588,-0.125140607,0.063230733,-0.048743907,-0.062299905,0.003714158,0.051588379
51042,-30.93,147.87,0,0,-0.008125569,0,0.024697434,-0.019563527,0.051828005,0.027893592,0.037718107,0.067978349,-0.033446752,-0.029163021
45007,-26.11,144.13,0,0,-0.001533899,0,0,-0.00720529,0,0,0,0,0.024950387,0
41014,-28.35,151.63,-0.249718785,-0.143510287,-0.101049869,0.079469233,0.096353087,0.020997375,0.112741589,0.101049869,0.098862642,-0.182414698,-0.136759221,-0.374015748
40094,-27.81,152.67,-0.194338688,-0.081073327,-0.099768052,0.043307087,0.059593438,0.077742766,0.118110236,0.178395669,0.076989512,0.066583633,-0.065543071,-0.237345332
